,epoch,loss,avg_loss,mean_iou
0,0.0,0.6842655777931214,0.6842655777931214,0.36065728068351743
1,1.0,0.6579298377037048,0.6842655777931214,0.45591205954551695
2,2.0,0.6361532211303711,0.6666789594112627,0.5466389775276184
3,3.0,0.6123956441879272,0.649185511056465,0.6336270928382873
4,4.0,0.590448260307312,0.6294918413401931,0.7041586875915528
5,5.0,0.577656626701355,0.6092552894904866,0.7532942771911622
6,6.0,0.5662333965301514,0.5931321411965412,0.7904026746749878
7,7.0,0.555026650428772,0.579512467264388,0.8215644359588623
8,8.0,0.5456909537315369,0.5671616972324187,0.8531322240829468
9,9.0,0.5372069478034973,0.5563522024540066,0.8790412664413452
10,10.0,0.5322171449661255,0.5467225295139301,0.894745659828186
11,11.0,0.5281065106391907,0.5394300227120874,0.9049483180046082
12,12.0,0.5245667695999146,0.5337385076235169,0.9132085084915161
13,13.0,0.5211383104324341,0.5291290670375767,0.9170318126678467
14,14.0,0.5179489850997925,0.5251133830502219,0.9258355498313904
15,15.0,0.515970766544342,0.5215130811994129,0.9271231889724731
16,16.0,0.5144132971763611,0.5187279592516684,0.932380473613739
17,17.0,0.5128902196884155,0.5165597721702995,0.9338708281517029
18,18.0,0.5113778114318848,0.5147157695237423,0.9354126334190369
19,19.0,0.5099100470542908,0.513038400741144,0.9394081354141235
20,20.0,0.5090269446372986,0.5114663623570559,0.9404401540756225
21,21.0,0.5083051323890686,0.5102405237810815,0.9413391947746277
22,22.0,0.5075884461402893,0.509267965085083,0.9428490996360779
23,23.0,0.5068764686584473,0.5084239856262373,0.9439648628234864
24,24.0,0.5061733722686768,0.5076463388676822,0.9448047518730164
25,25.0,0.5057514309883118,0.5069061546276277,0.9457403302192688
26,26.0,0.5054036378860474,0.506325891484708,0.9463987112045288
27,27.0,0.5050569772720337,0.5058624474622668,0.9468959689140319
28,28.0,0.5047111511230469,0.5054576885713928,0.9473340511322021
29,29.0,0.5043666362762451,0.505082544124384,0.9478360652923584
30,30.0,0.5041583776473999,0.504722791436589,0.9482722401618957
31,31.0,0.5039863586425781,0.504439166416783,0.9485143780708313
32,32.0,0.5038143992424011,0.50421162482166,0.9487440586090088
